257	226	128
258	32	116
259	104	101
260	32	97
261	105	110
262	32	115
263	111	117
264	114	101
265	258	259
266	32	119
267	111	110
268	10	10
269	104	97
270	101	114
271	257	156
272	257	157
273	101	100
274	110	100
275	105	116
276	32	111
277	105	115
278	32	109
279	261	103
280	32	98
281	101	110
282	111	114
283	108	108
284	258	111
285	257	153
286	32	100
287	272	268
288	108	101
289	32	99
290	32	102
291	97	116
292	276	102
293	97	115
294	32	73
295	97	110
296	32	112
297	269	116
298	32	104
299	32	121
300	32	261
301	32	259
302	105	100
303	97	114
304	299	263
305	46	268
306	101	115
307	260	274
308	111	109
309	46	287
310	108	121
311	32	269
312	32	110
313	118	101
314	32	108
315	111	119
316	116	104
317	105	109
318	32	103
319	105	99
320	262	97
321	280	101
322	115	116
323	258	104
324	111	116
325	266	293
326	103	104
327	117	116
328	115	101
329	258	297
330	44	272
331	281	116
332	32	275
333	32	65
334	105	114
335	32	101
336	285	115
337	32	117
338	32	267
339	32	66
340	97	99
341	32	271
342	320	302
343	118	270
344	32	264
345	97	100
346	105	267
347	84	259
348	326	116
349	114	111
350	32	67
351	275	104
352	108	100
353	257	148
354	263	116
355	267	121
356	97	121
357	110	316
358	357	355
359	63	287
360	32	77
361	101	116
362	298	277
363	262	116
364	260	115
365	111	111
366	114	105
367	266	351
368	101	99
369	97	108
370	260	116
371	99	101
372	32	72
373	285	116
374	271	73
375	260	110
376	290	282
377	298	317
378	32	107
379	32	277
380	117	114
381	333	358
382	278	101
383	32	76
384	264	100
385	105	283
386	116	270
387	101	109
388	116	288
389	311	100
390	32	83
391	262	117
392	107	101
393	259	114
394	101	283
395	99	104
396	105	97
397	112	112
398	308	101
399	32	32
400	286	111
401	97	109
402	263	352
403	337	112
404	262	101
405	311	313
406	97	261
407	312	324
408	113	117
409	103	261
410	97	274
411	105	348
412	32	347
413	105	108
414	107	273
415	266	104
416	115	115
417	89	263
418	103	101
419	368	116
420	378	110
421	260	283
422	32	114
423	116	101
424	282	100
425	278	295
426	86	334
427	426	409
428	427	396
429	105	102
430	97	283
431	101	108
432	32	71
433	261	100
434	117	322
435	323	277
436	266	101
437	32	354
438	260	98
439	262	111
440	360	114
441	262	104
442	295	116
443	291	388
444	316	279
445	32	80
446	301	114
447	312	111
448	32	288
449	372	101
450	271	87
451	263	114
452	263	115
453	263	274
454	278	121
455	420	315
456	111	264
457	117	115
458	111	108
459	262	259
460	338	101
461	112	270
462	343	121
463	116	259
464	291	270
465	269	109
466	105	103
467	116	111
468	97	107
469	335	120
470	280	121
471	98	288
472	32	87
473	32	428
474	46	10
475	117	108
476	321	281
477	276	114
478	306	115
479	114	308
480	365	100
481	303	100
482	262	398
483	261	107
484	438	354
485	291	346
486	72	101
487	339	443
488	32	106
489	303	116
490	365	107
491	304	114
492	32	70
493	289	267
494	267	101
495	280	327
496	112	116
497	401	101
498	306	116
499	464	465
500	32	84
501	108	111
502	314	105
503	291	101
504	32	408
505	286	101
506	312	101
507	302	101
