256	32	116
257	104	101
258	32	97
259	105	110
260	256	257
261	32	111
262	32	119
263	114	101
264	32	115
265	110	100
266	101	114
267	104	97
268	111	117
269	105	115
270	105	116
271	111	110
272	101	100
273	32	98
274	101	110
275	32	109
276	261	102
277	32	102
278	32	99
279	111	114
280	258	265
281	256	111
282	101	115
283	259	103
284	32	32
285	108	108
286	32	100
287	97	114
288	32	112
289	97	116
290	84	84
291	97	110
292	65	65
293	32	259
294	97	115
295	32	104
296	10	10
297	32	108
298	32	257
299	32	110
300	111	109
301	32	267
302	105	99
303	108	101
304	32	73
305	267	116
306	84	71
307	111	116
308	65	71
309	117	116
310	67	67
311	273	101
312	32	103
313	115	116
314	111	119
315	118	101
316	32	101
317	105	271
318	115	101
319	105	109
320	274	116
321	97	108
322	105	100
323	108	121
324	32	121
325	256	104
326	108	100
327	99	101
328	103	104
329	256	305
330	32	263
331	262	294
332	270	104
333	97	121
334	101	116
335	46	296
336	324	268
337	114	111
338	261	110
339	32	270
340	105	114
341	118	266
342	32	117
343	262	104
344	99	116
345	32	84
346	284	284
347	277	279
348	262	332
349	117	114
350	295	269
351	97	100
352	84	67
353	258	115
354	65	67
355	114	105
356	328	116
357	257	114
358	262	101
359	264	116
360	32	269
361	44	10
362	32	65
363	99	104
364	97	109
365	258	110
366	299	307
367	71	71
368	114	97
369	32	83
370	301	100
371	111	111
372	116	266
373	105	285
374	97	265
375	268	326
376	105	102
377	258	116
378	32	77
379	298	114
380	107	101
381	45	45
382	97	259
383	116	104
384	105	108
385	275	101
386	282	115
387	264	101
388	32	72
389	39	115
390	263	100
391	295	319
392	34	296
393	345	257
394	112	101
395	32	34
396	289	317
397	111	263
398	302	104
399	114	300
400	116	257
401	264	117
402	32	66
403	286	101
404	273	121
405	32	67
406	65	84
407	264	97
408	97	285
409	65	290
410	117	108
411	261	114
412	32	80
413	103	101
414	264	111
415	117	115
416	301	315
417	113	117
418	97	99
419	275	121
420	32	107
421	300	101
422	282	116
423	258	285
424	105	356
425	343	398
426	264	257
427	101	109
428	325	269
429	116	111
430	263	115
431	32	71
432	278	271
433	277	399
434	273	309
435	32	87
436	97	98
437	266	115
438	117	110
439	112	112
440	291	116
441	46	10
442	299	101
443	32	118
444	268	115
445	269	116
446	65	306
447	342	112
448	286	111
449	316	120
450	32	114
451	264	104
452	117	313
453	262	279
454	287	100
455	260	121
